id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
15625,2011-07-20,Au9999,330.8,333.45,330.0,330.39,-3.55,-1.0,2022-01-04 02:27:46
15631,2011-07-21,Au9999,332.0,333.35,328.9,333.17,2.78,1.0,2022-01-04 02:27:46
15638,2011-06-24,Au9999,321.0,321.0,317.0,317.88,-3.62,-1.0,2022-01-04 02:27:46
15644,2011-06-27,Au9999,317.0,317.5,312.98,313.95,-3.93,-1.0,2022-01-04 02:27:46
15650,2011-06-28,Au9999,314.5,314.5,313.0,313.62,-0.33,-1.0,2022-01-04 02:27:46
15656,2011-06-29,Au9999,315.0,315.0,313.1,314.61,0.99,1.0,2022-01-04 02:27:46
15662,2011-06-30,Au9999,316.0,316.0,313.8,314.7,0.09,1.0,2022-01-04 02:27:46
15668,2011-07-01,Au9999,316.0,316.0,312.8,313.33,-1.37,-1.0,2022-01-04 02:27:46
15674,2011-07-04,Au9999,315.0,315.0,311.6,312.27,-1.06,-1.0,2022-01-04 02:27:46
15680,2011-07-05,Au9999,312.5,313.0,311.8,312.13,-0.14,-1.0,2022-01-04 02:27:46
15686,2011-07-06,Au9999,315.0,316.9,313.98,316.51,4.38,1.0,2022-01-04 02:27:46
15692,2011-07-07,Au9999,316.51,320.2,316.2,319.2,2.69,1.0,2022-01-04 02:27:46
15700,2011-06-10,Au9999,321.1,322.47,320.7,321.73,1.02,1.0,2022-01-04 02:27:46
15705,2011-06-13,Au9999,323.5,323.5,319.95,320.0,-1.73,-1.0,2022-01-04 02:27:46
15711,2011-06-14,Au9999,321.9,321.9,317.0,317.96,-2.04,-1.0,2022-01-04 02:27:46
15717,2011-06-15,Au9999,317.01,319.2,316.8,318.5,0.54,1.0,2022-01-04 02:27:46
15723,2011-06-16,Au9999,319.2,319.99,318.0,319.34,0.84,1.0,2022-01-04 02:27:46
15729,2011-06-17,Au9999,320.5,320.5,318.5,318.7,-0.64,-1.0,2022-01-04 02:27:46
15735,2011-06-20,Au9999,321.3,321.3,320.45,320.67,1.97,1.0,2022-01-04 02:27:46
15741,2011-06-21,Au9999,321.0,322.0,320.6,321.33,0.66,1.0,2022-01-04 02:27:46
15747,2011-06-22,Au9999,321.5,322.2,321.05,321.78,0.45,1.0,2022-01-04 02:27:46
15753,2011-06-23,Au9999,322.5,323.5,321.35,321.5,-0.28,-1.0,2022-01-04 02:27:46
15759,2011-05-26,Au9999,318.5,320.05,318.5,319.59,0.7,1.0,2022-01-04 02:27:46
15765,2011-05-27,Au9999,319.9,319.9,317.79,319.39,-0.2,-1.0,2022-01-04 02:27:46
15772,2011-05-30,Au9999,321.0,321.25,320.25,320.29,0.9,1.0,2022-01-04 02:27:46
15778,2011-05-31,Au9999,321.0,321.1,320.01,320.64,0.35,1.0,2022-01-04 02:27:46
15784,2011-06-01,Au9999,321.9,321.9,319.2,319.48,-1.16,-1.0,2022-01-04 02:27:46
15790,2011-06-02,Au9999,321.5,321.55,319.5,321.38,1.9,1.0,2022-01-04 02:27:46
15796,2011-06-03,Au9999,321.79,321.79,318.1,319.77,-1.61,-1.0,2022-01-04 02:27:46
